Texte,Classe
"مونية بالكبدة

المكونات
500غ كبدة دجاج
كأس زيت
بصل
قليل من الثوم المفروم
ملعقة طماطم معجون
نصف ملعقة فلفل أحمر مرحي
قليل من الفلفل الأسود و ملح
ملعقة تابل وكروية
ملعقة صغيرة كمون.

طريقة التحضير
يتم تقطيع الكبدة قطع صغيرة و كذلك البصل الى قطع صغيرة. ثم توضع في القدر مع إضافة الزيت و ملعقة الطماطم، الثوم المفروم، يقلى على النار عندما يحمر البصل يقع إضافة الفلفل الأحمر و الأسود و ملح و تابل وكروية.
بعد التقلية يقع إضافة الماء ويترك على النار لمدة 13دقيقة.
بعد أن ينضج يضاف له الكمون والمعدنوس و يترك لمدة دقيقتين.
وصحة و بالشفاء",Nourriture
"ليويو
المكونات
5 بيضات – 5 ملاعق سكر – 5 ملاعق زيت – ملعقة كبيرة خميرة مرطبات – ملعقة كبيرة سكر فانيليا – 1⁄2 كوب جلجلان – 500غ فارينة – يمكن إضافة كوب حليب أو ياغورت طبيعي حسب الرغبة.
للقلي:
1ل زيت نباتي.
للشحور:
500غ سكر – عصير ليمونة – 3 أكواب ماء.
طريقة التحضير
في وعاء يخلط السكر و البيض و السكر فانيليا يخفق جيدا لحين ذوبان السكر يضاف الزيت و الجلجلان يخلط جيدا.
تضاف الفارينة والخميرة تدريجيا يلم العجين و يصبح متجانسا دون عجنه. يترك ليرتاح لمدة ساعة.
يفرد العجين و يشكل دوائر متساوية يمكن إستعمال كأس أو قالب دائري.
يقلى اليويو في زيت ساخن ثم يغمس في الشحور.
تحضير الشحور يوضع السكر والماء والليمون ويترك ليغلي حين يتخثر يصبح جاهزا.",Nourriture
"أرز بالدجاج
المكونات
500 غ أرز
دجاجة
250 غ بطاطا/ جزر ( حسب الرغبة)
250 غ فلفل أخضر
100 غ حمص منقوع
100 غ بصل
3 ملاعق كبيرة معجون طماطم
ملعقة كبيرة سمن
ورقة رند
نصف فنجان زيت
نصف ملعقة هريسة أو فلفل أحمر
فلفل أسود
ملح
طريقة التحضير
يقطع الدجاج إلى قطع متساوية، يتبل بالفلفل الأسود و الملح، يهرس البصل و يقلى مع الدجاج قليلا في قدر مع الزيت مدة 5 دقائق، يضاف الطماطم، الهريسة، الرند و الحمص تغطى الصلصة بمقدار من الماء، تترك 50 دقيقة على نار هادئة مع التحريك و زيادة الماء عند الضرورة.
ينظف الأرز ويوضع في الكسكاس (القدر و الكسكاس المخصص لطبخ الكسكسي) بعد أن ينقع في الماء لمدة نصف ساعة.
عندما تغلي الصلصة، يضاف الفلفل و البطاطا، يوضع الكسكاس فوق القدر، يترك لينضج على نار هادئة مدة 15 دقيقة. يسكب بعد ذلك الأرز في صحن ويفرق حباته ويرش بقليل من الماء البارد ثم يرجع إلى الكسكاس ليطهى على نار هادئة مدة ربع ساعة.
يوضع في صحن، يفرك حباته ويضاف إليه السمن و يترك جانبا. عندما تنضج قطع الدجاج يخلط الأرز مع الصلصلة و يزين بقطع الدجاج و الخضر ويقدم، بالشفاء ",Nourriture
"كريمة القهوة
المكونات
3 بيضات – ملعقة كبيرة قهوة – ملعقة كبيرة كاكاو مرحي – 100 غ سكر ناعم – 1/2 لتر حليب – ملعقتان كبيرتان نشاء.
طريقة التحضير
في الخلاط، توضع القهوة، البيض، السكر، النشاء والحليب ثم يخلط جيداً.
يضاف للخليط، الكاكاو ويخلط قليلا.
يوضع الخليط على النار مع التحريك المستمر حتى ينضج.",Nourriture
"بيتزا ببروني

المكونات

صلصة البيتزا :
كوب طماطم طازجة
فلفل أخضر مقطع إلى شرائح
زيتون أسود :
ربع كوب
جبنة الموتزاريلا
ببروني.
عجينة البيتزا :
كوب ونصف ماء دافئ
ملعقتان صغيرتان خميرة
أربعة أكواب فارينة
ملعقة صغيرة ملح
ملعقة صغيرة سكر
ربع كوب زيت زيتون.

طريقة التحضير

يتم مزج الماء، والخميرة، والسكر في وعاء صغير، ثم يُترَك المزيج جانباً لمدة خمس دقائق. تخلَط الفارينة والملح في وعاء كبير.
تُحدَث فجوة في وسط الخليط، ويُضاف مزيج الخميرة مع الزيت.
تُعجَن المكونات جيداً، ثم يُدهَن سطح العجينة بالقليل من الزيت، ثم يُعجَن مرّةً أخرى، ويُوضع في وعاء مناسب.
يُغطّى الوعاء، ويُترَك جانباً في مكانٍ دافئ حوالي ساعة؛ حتى يتضاعف حجم العجينة
تدهن صينية الفرن وترص عليها عجينة البيتزا.
توضع طبقة من صلصة الطماطم، ثمّ طبقة أخرى من الجبن. توزين بشرائح الفلفل، والزيتون. ثمّ توضع في الفرن حتّى تنضج و قبل تقديمها توضاف الببروني والزيتون وتقدم ساخنة",Nourriture
"صابلي معجون

المكونات

معجون المشماش أو أي نوع آخر حسب الرغبة
250 غ من الزبدة
400 غ فارينة
150 غ من السكّر الناعم
ملعقة سكر فانيليا
ملعقة خميرة مرطبات
صفار ثلاث بيضات.

طريقة التحضير

في البداية يوضع مقدار الزبدة في وعاء، تضاف إليه كميّة السكر ومن ثم يخلط جيداً معا.
بعد الخلط يصبح على هيئة كريمة، يضاف كلّاً من الفانيليا والبيض، مع إستمرار التحريك، تضاف كمية الفارينة للخليط تدريجياً ، تبدأ العجينة بالتكوّر حول نفسها دون الحاجة لأن يتمّ عجنها.
تغطى وتترك فترة قليلةً، تفرد العجينة بشكل جيد، تشكل الأشكال عبر قوالب معدة للغرض، تطبخ عن طريق وضعها في الفرن على درجة حرارة مناسبة، وبعد نضوجها تأخذ كلّ قطعتين منها سويّاً (الأفضل أن تكون القطعة الأولى مثقوبة والأخرى غير مثقوبة) وتلصق بالمربّى.",Nourriture
"خبز ملاوي

المكونات

250 غ سميد-100 غ فارينة-نصف كوب ماء دافئ-ملح – زيت.

طريقة التحضير

يبلل العجين بالماء الدافئ ، يضاف قليل من الملح، يخلط ثم يعرك العجين جيدا و لمدة طويلة ، تترك جانبا لمدة نصف ساعة.
يقسم العجين إلى كريات صغيرة ، تفرد كل واحدة بالزيت ثم توضع في مقلاة دون زيت.
يضاف الحشو حسب الإختيار (هريسة، بيض، جبن، سلاطة…).",Nourriture
"دجاجة روتي
المكونات
دجاجة
ليمون
ثوم
الزيت
الخل
الكركم
الاكليل والزعتر
طريقة التحضير
بعد ان ننظف الدجاجة جيدا ونحن ندهنها بالليمون جيدا ونتركها ترتاح قليلا ثم نتبلها بالثوم المدقوق بالملح وخاصة داخلها.ثم في اناء نخلط الزيت مع الخل و الكركم والاكليل والزعتر و نحركه جيدا .
ندخل الدجاجة تطبخ نصف طبخة ثم نخرجها و نتبلها بالخليط المذكور .ثم عندما تنضج و نحن ندهنها بالقليل من الزبدة ثم نسكب القليل من الخل مرة اخرة و نتركها تحمر.لذيذة جدا
ملاحظة:لا نتخلص من الجلدة انها هي مصدر لذة الدجاجة.",Nourriture
"قاتو الشوكولاتة بالكريمة
المكونات:
- كوب زبدة
- كوب سكر
- 5 بيضات
- كوبان و نصف حليب
- رشّة ملح
- كوبان و نصف فارينة
- ملعقتان صغيرتان خميرة مرطبات
-6 ملاعق كبيرة نشاء
- ملعقة صغيرة سكر فانيليا
- كوب كريمة
- كوب شوكولاتة مرحية
طريقة التحضير:
نركض الفارينة مع الملح و الخميرة ثم نخفق الزبدة مع السكر في العجان الكهربائي جيداً ثم يُضاف البيض تدريجياً ثم الحليب والقليل من سكر الفانيليا
يُضاف القليل من الفارينة مع استمرار الخفق على سرعة هادئة
ثم نضع خليط القاتو في قالب مدهون بالقليل من الزبدة والفارينة في فرن ساخن مسبقاً على 180 درجة لمدة 40 دقيقة ثم تترك لتبرد قبل التزيين
طريقة تحضير طبقة الحشوة
يُسخن الحليب مع ملعقتان السكر على نار هادئة .. في وعاء كبير يُخفق البيض مع السكر والفانيليا والنشا جيدا ثم يصب القليل من الحليب الساخن للبيض مع استمرار الخفق ثم يعاد المزيج كله على النار مع التقليب حتى يصبح سميك ثم يرفع من على النار وتُضاف مكعبات الزبدة .يُغطى ويترك في الثلاجة .
ثم نقطع القاتو في المنتصف نضع الكريمة بداخلها ثم نغطيها بالكريمة و نرشها بالشكلاطة و نقدمها",Nourriture
"كعابر الشوكولاتة بالفاكية

المكونات

علبتي بسكويت-250 غ مكسرات ( لوز ,بوفريوة )- علبة حليب مركز-400 غ شوكولاتة-50 غ زبدة- نصف علبة كريمة طازجة.

طريقة التحضير

يرحى البسكويت ثم يوضع في إناء وتضاف إليهم المكسرات المقلية جيدا والمرحية وتضاف إليهم الحليب المركز حتى تصبح عجينة متماسكة ،تكوّن كويرات صغيرة وتوضع في الثلاجة .
تذوب الشوكولاتة في حمام مائي مع الزبدة و علبة كرمية طازجة ، تغمس الكويرات في الشوكولاتة ثم في جوز الهند وتترك لتبرد ثم تحفظ في الثلاجة .",Nourriture
"بسكويت عربي

المكونات
كغ من الفارينة
6 بيضات
كاسين خميرة مرطبات
كاسين سكر فانيليا
250 غ سكر عادي
250 غ زبدة مذابة
جلجلان

طريقة التحضير
يخفق البيض مع السكر العادي وسكر فانيليا
تضاف الزبدة والفارينة والجلجلان
تخلط جيدا وتترك لمدة 20 دقيقة
تصنع عصي بالعجين بنفس السمك
تقطع إلى قطع بالسكين
توضع في الفرن لمدة 15 دقيقة في حرارة 200 درجة",Nourriture
"تارت بالسبناخ

المكوّنات
200 غرام فطر طازج مقطّع إلى شرائح
100 غرام زبدة
300 غرام فارينة
200 غرام كريمة طازجة
صفار بيضتان
500 غرام سبانخ مسلوق
100 غرام جبن موزاريلا مبشور
ملح بحسب الرغبة
فلفل أسود بحسب الرغبة

طريقة التحضير
1- لتحضير عجينة التارت، إعجني الدقيق والزبدة والبيض حتى الحصول على عجينة متماسكة، ثمّ مدّيها في قوالب التارت الصغيرة.
2- سخّني الزبدة في قدر على النار وأضيفي إليها السبانخ ورشّة من الملح والفلفل الأبيض، ثمّ حرّكي الخليط لبضع دقائق.
3- أضيفي الفطر الطازج واتركيه ليتقلّى مع السبانخ.
4- ضعي صفار بيضة في الكريمة مع رشّة من الفلفل الأبيض وحرّكي الخليط ثمّ اسكبيه فوق القدر مع التقليب باستمرار.
5-أسكبي الخليط فوق العجينة في قالب التارت ثمّ رشّي فوقه الجبن المبشور.
أخبزي قوالب التارتوليت في الفرن على حرارة 180 درجة مئويّة لمدّة 25 دقيقة",Nourriture
"بيتزا المقلى

المكوّنات:

300 غ فارينة
بيضة كاملة
ملعقة صغيرة خميرة الخبز
ملعقة صغيرة سكر
2 ملاعق كبيرة زيت الزيتون
ماء دافئ
زعتر [حسب الذوق.يمكن الاستغناء عنه]
ملح

طريقة التحضير:
في وعاء نضع الفارينة و نضيف عليه البيضة و نخلط باليد
نضيف الخميرة و السكر و نخلط
نضيف الملح و نبدأ في إضافة الماء الدافئ حتى نحصل على عجينة متلاصقة
في الأخير نضيف الزيت و نخلطها.
نغطيها بكيس بلاستيكي و نتركها ترتاح مدة 45د
بعدما ترتاح نشيلها دائرة و نضعها في مقلاة ساخنة.
بعدما يستوي الجزء السفلي نقلبها و نضع عليه الصوص و الجبن و اللحم المرحي او التونة... [حسب الرغبة] و نغطيها إلى أن تستوي الجبنة و نقدمها بصحة و عافية",Nourriture
"تارت الشوكولاتة
المكونات:
1 و 3/4 كوب فارينة
1 كوب زبدة باردة مقطعة شرائح
1 بيض
1 ملعقة صغيرة فانيليا سائلة
1/4 ملعقة صغيرة ملح
1 ملعقة كبيرة ماء بارد
مكونات الحشو
400 جرام شوكولاتة
1 كوب كريما الخفق
1/2 كوب زبدة
1 ملعقة صغيرة قهوة سريعة الذوبان
1 ملعقة كبيرة سكر
1200 جرام بندق
مكونات التزيين
3 ملعقة كبيرة كاكاو بودرة
100 غم شوكولاتة مبشورة
طريقة التحضير:
طريقة قاعدة التارت
1. يُخلط الفارينة المنخول بالخفاقة اليدوية وتُفرك الزبدة الباردة المقطعة إلى شرائح مع الفارينة حتى يصبح كالرمل
2. تضاف البيضة مع متابعة الخلط
3. تشكل العجينة إلى قرص و تلف بغطاء بلاستيكي وتترك في الثلاجة لمدة نصف ساعة
4. تُرفع من الثلاجة وتُفرد على سطح مرشوش بكمية بسيطة من الفارينة وتفرد في قالب الفطيرة ( قطره 25 سم تقريبًا ) ويعمل بها عدة ثقوب بواسطة شوكة وتُعاد الى الثلاجة لمدة نصف ساعة
5. تُخبز في فرن ساخن لمدة 15 دقيقة حتى تكتسب الأطراف اللون الذهبي و حتى تنضج القاعدة, تُخرج وتترك لتبرد تمامًا
طريقة الحشو
1. تذاب الشوكولاته الداكنة أو بالحليب مع الزبدة في حمام مائي
2. تُسخن الكريمة مع السكر والقهوة حتى يبدأ الخليط في الغليان ثم يضاف لخليط الشوكولاتة المذابة ويُخلطا جيدا
3.يضاف البندق المحمص المطحون ويُخلط مع الاحتفاظ بمقدار ملعقة طعام واحدة منه للتزيين
4. يُصب خليط الحشو فوق قاعدة التارت المخبوزة ويوضع في الثلاجة لمدة ساعتين تقريبًا
للتزيين:
يُرش الوجه بكاكاو البودرة والشوكولاتة المبروشة والبندق",Nourriture
"بناضج بالتن

المكونات

للعجين
300 غ فارينة- 150 غ سميد- ملعقة خميرة فورية-ربع كوب زيت- ربع كوب ماء دافئ-ملعقة صغيرة ملح.
للحشو:
معدنوس مفروم-200 غ تن-100 غ جبن مبشور-ملعقتين ريكوتا-ثلاثة بيضات مسلوقة و مقطعة مكعبات صغيرة.

طريقة التحضير

تمزج الخميرة بالماء الدافئ و تترك لتتفاعل ل 20 دقيقة.
تخلط كل مكونات العجين الجافة.
يضاف بعد ذلك الزيت و الخميرة و تدعك حتى تتجانس.
يضاف الماء إن لزم الأمر.
ثم تترك لتتخمر 30 دقيقة.
تخلط كل مكونات الحشو معا.
يرش العجين بالفارينة و يفرد مقدار نصف صم من السمك .
تقطع لدوائر متساوية ويضع بداخلها الحشو .
تطبخ في الفرن 30 دقيقة على حرارة متوسطة كما يمكن قليها وتقدم ساخنة",Nourriture
"مرقة لوبيا بالكعابر

المكونات:

500غ لحم بقري مفروم
100غ لوبياء منفخة
3 ملاعق كبيرة زيت زيتون
ملعقة كبيرة طماطم معجونة
ملعقة هريسة
بصلة مقطعة
فلفل زينة
تابل
فلفل أسود
ملح

طريقة التحضير:

يتبل اللحم بقليل من الملح والتابل والفلفل الأسود والنعناع المجفف ثم يشكل (كعابر ) في حجم الجوزة و نقليها قليلا ويترك جانبا
نقطع البصل وننضيف الطماطم و الهريسة و نقليها قليلا ثم نزيد اللوبياء بعد شطفها بالماء البارد و التابل وباقي البهارات حسب الرغبة مع قدر كافي من الماء حوالي 4 أكواب عند الغليان نضيف الكعابر و نترك الخليط ينضج على نار هادئة ",Nourriture
"ميني بيتزا بالبيض

المكونات
للحشو:
صلصة البيتزا-جبن موزريلا-زيتون أسود-فلفل أخضر-تن-بيض.
للعجينة :
كوب ونصف ماء دافئ-ملعقتان صغيرتان خميرة-أربعة أكواب فارينة-ملعقة صغيرة ملح-ملعقة صغيرة سكر-ربع كوب زيت زيتون.
للصلصة:
ملعقتان زيت- ملعقتان كبيرتان معجون طماطم- فصين من الثوم المهروس-ملعقة صغيرة من الملح – ملعقة صغيرة من الفلفل الاسود – ملعقة صغيرة من الكليل – ملعقة صغيرة من الزعتر.

طريقة التحضير
يتم مزج الماء، الخميرة، السكر في وعاء صغير، يُترَك المزيج جانباً لمدة خمس دقائق.
تخلَط الفارينة والملح في وعاء كبير.
تُحدَث فجوة في وسط الخليط، يُضاف مزيج الخميرة مع الزيت.
تُعجَن المكونات جيداً، يُدهَن سطح العجينة بالقليل من الزيت، يُعجَن مرّةً أخرى، يُوضع في وعاء مناسب.
يُغطّى الوعاء، يُترَك جانباً في مكانٍ دافئ حوالي ساعة، حتى يتضاعف حجم العجينة.
تسلق الطماطم وتقشر و ترحى.
يوضع الزيت على النار يضاف الثوم يحرك ثم معجون الطماطم ،الملح ،الفلفل الأسود ،الكليل ،الزعتر ،الماء،تقلب وتترك على نار هادئة .
تفرد العجين و يقطع دوائر يمسح سطحه بصلصة البيتزا ،يوضع الزيتون ، الفلفل و الجبن تخبز في الفرن نصف ساعة أو حتى تستوي على درجة حرارة 180 ثم تظاف بيضة مقلية ويضاف التن ثم تقدم.
صحة وبالشفاء ",Nourriture
"كسكسي باللحم البقري

المكونات:

500 غ كسكسي
350 غ لحم
250 غ حمص
250 غ زبيب منقوع في ماء ورد
بهارات: تابل، كروية، فلفل أحمر، فلفل أسود و كركم
بصلة كبيرة مقطعة الى دوائر
2 حبات طماطم
2 حبات فلفل مقلي
جزر
ملعقة كبيرة معجون طماطم
نصف فنجان زيت

طريقة التحضير:

نقلي الطماطم، الملح، البهارات، البصل و اللحم في الزيت. نضيف 2 لتر من الماء مع الحمص والجزر و نتركه على النار حتى يستوي اللحم.
نضع حبات الكسكسي بعد خلطهم بقليل من الماء و الزيت في الكسكاس. نتركه يستوي على البخار مدة 20 دقيقة.
نعيد الكرة مرة اخرى مدة 20 دقيقة. عندما يقترب اللحم من الاستواء نضيف الزبيب .
نمرق الكسكسي و نزين وجهه باللحم، الفلفل المقلي، الحمص و الزبيب. ",Nourriture
"كريمة الشوكولاتة بالفانيليا

المكونات

150 غ من الشوكولاتة المذابة -كوب من الزبدة الليّنة – ملعقة صغيرة من الفانيليا السائلة – كوب ونصف من السكر الناعم -ملعقتان أو ثلاث ملاعق كبيرة من الحليب.

طريقة التحضير

يوضع في إبريق الخلاط الكهربائي الشوكولاتة والفانيلا ويثبت المضرب الشبكي ويشغل على سرعة متوسطة مع إضافة الحليب برفق وبالتدريج حتى تتكون لدينا كريمة هشة وناعمة. تسكب في أكواب التقديم وتقدم. ",Nourriture
"قاتو طبقات
المكونات :
-5 بيضات
- 6 ملاعق سكر
- ملعقتان صغيرتان من الفانيليا
- ملعقتان فارينة
- ملعقتان كاكاو
- ملعقتان صغيرتان خميرة مرطبات
-6 ملاعق كبيرة شوكولاتة
-200غ زبدة
طريقة التحضير:
يخفق البيض والسكر لمدة 7 دقائق على سرعة عالية ليصبح مثل الكريمة نضيف الفانيليا
و نخلط الفارينة و الكاكاو والخميرة ثم نضيفها إلى الخليط وتقلب بملعقة مطاطية بخفة
توضع في قالب مدهون في فرن على 175 درجة لتنضج ثم تترك لتبرد ثم تقسم القاتو من النصف إلى طبقات
تخفق مكونات الحشو الشوكولاتة و الزبدة معا لتصبح خفيفة القوام و تحشى قاتو بها ثم تغطى بالطبقة الثانية من القاتو وتوزع الشوكولاتة عليها و تزين بباقي الحشو
و تقدم . ",Nourriture
"كمونية بالكبدة

المكونات
500غ كبدة دجاج
كأس زيت
بصل
قليل من الثوم المفروم
ملعقة طماطم معجون
نصف ملعقة فلفل أحمر مرحي
قليل من الفلفل الأسود و ملح
ملعقة تابل وكروية
ملعقة صغيرة كمون.

طريقة التحضير
يتم تقطيع الكبدة قطع صغيرة و كذلك البصل الى قطع صغيرة. ثم توضع في القدر مع إضافة الزيت و ملعقة الطماطم، الثوم المفروم، يقلى على النار عندما يحمر البصل يقع إضافة الفلفل الأحمر و الأسود و ملح و تابل وكروية.
بعد التقلية يقع إضافة الماء ويترك على النار لمدة 13دقيقة.
بعد أن ينضج يضاف له الكمون والمعدنوس و يترك لمدة دقيقتين.
وصحة و بالشفاء. ",Nourriture
"خبزة محشية في المقلاة

المكونات

للعجينة:
400غ فارينة
ملعقة كبيرة سكر
ملعقة كبيرة خميرة خبز
ملعقة صغيرة خميرة الحلويات
أربعة ملاعق كبيرة زيت
ملعقة صغيرة ملح
ماء دافئ.
للحشو:
200 غ دجاج مفروم
بيضتان مسلوقتان
بصلة صغيرة فصوص من الثوم
ثلاثة حبات طماطم
فلفل حسب الرغبة
ورقات من المعدنوس
القليل من الملح
القليل من الفلفل الأسود
القليل من الكركم
50 غ جبن مرحي
ثلاثة ملاعق زيت.

طريقة التحضير

في إناء تخلط الفارينة ، السكر ، خميرة الخبز ، خميرة الحلويات ، الملح ، الزيت و تعجن بالماء الدافئ ،تترك العجينة لترتاح لمدة 30 دقيقة.
يوضع البصل و الثوم مع الزيت في المقلاة على النار ثم يضاف الدجاج المفروم،يحرك،يضاف بعد ذلك الملح،الفلفل الأسود،الكركم و يحرك ، تضاف الطماطم المقطعة والفلفل و ورقات المعدنوس.
تقسم العجين إلى أربعة كويرات، تبسط واحدة و يوضع خليط الدجاج و البيض و الجبن ثم تبسط عجينة أخرى فوق الحشو وتغلق من الجوانب.
توضع مقلاة مدهونة بالزبدة أو الزيت على النار ثم توضع العجينة و تقلب من الجهتين إلى أن تنضج و تقدم بالهناء والشفاء. ",Nourriture
"غريبة حمص
المكونات:
370غ حمص مرحي
150غ سكر محور ناعم
125غ فارينة
250غ زبدة مرطبات
فواكه جافة للتزيين.
طريقة التحضير:
يغربل الحمص تضاف الفارينة ثم السكر المحور تخلط بالزبدة المذوبة تعجن جيدا ثم تترك لترتاح مدة ساعة. تفرد عجين الحمص ثم تشكل.
أو تقص بالسكين حسب الرغبة. الكمية المتبقية يمكن تشكيلها مستطيلات و تغمس في الجلجلان. توضع الغريبة في طبق الفرن تخبز على درجة حرارة 150 مدة 25 دقيقة. حين تنضج تقدم. ",Nourriture
"بيتزا الثلاث طماطم

المكونات
ثلاثة أكواب فارينة
ملعقة طعام خميرة
كوب حليب دافئ
ملعقتين زيت زيتون
أربعة فصوص ثوم مقطعة رفيع
ثلاثة حبات طماطم متوسطة الحجم مقطعة شرائح رفيعة (ثلاثة ألوان مختلفة أصفر وأحمر و أخضر)
ثلث ملعقة صغيرة ملح
ثلث ملعقة صغيرة فلفل
كوب جبن موزاريلا
أربعة ملاعق طعام جبن بارميزان
ربع كوب بقدونس مفروم

طريقة التحضير
تذوب الخميرة مع الحليب الدافئ و تترك قليلا حتى تتفاعل ثم تخلط الفارينة مع الملح والفلفل وتعجن جيدا لمدة ثماني دقائق إلى أن تتشكل العجين باليد وتصبح لينة وسلسة .
توضع في وعاء مدهون بالزيت و يغطى الوعاء وتترك لمدة ساعة.
تقسم العجين عدة أقسام متساوية وتفرد على ورق خاص بالفرن (ورق زبدة).
تثقب العجين بواسطة شوكة خشبية ترش قليل من الفارينة وتفرد.
تدهن العجين بملعقة زيت زيتون ويرش قليلا من الثوم وترص شرائح الطماطم ترش رشة ملح وفلفل ثم الجبن الموزاريلا أو البارميزان و أخيرا البقدونس ورشة زيت زيتون من فوق ثم تغطي البيتزا وتترك لمدة عشر دقائق.
توضع في فرن حار على درجة حرارة 400 لمدة من 15-18 دقيقة أو إلى أن يذوب الجبن و يصبح لون العجين ذهبي من أسفل و تقدم.
صحة وبالشفاء ",Nourriture
"طاجين طبقات الكريب
المكونات:
بيضة
كوب و نصف حليب
ملعقة زبدة صغيرة
كوبين دقيق (فرينة)
ملعقة صغيرة ملح
الحشوة (حسب الرغبة):
صالصة البيتزاء
بيضة مخفوقة
جبنة موزاريلا مبشورة
تن معصور من الزيت
معدنوس حسب الرغبة
طريقة التحضير:
يخفق البيض جيدا ثم نضيف الدقيق والزبدة ونخلطهم مع البيض ثم
يضافة الحليب الى ان تتكون عجينة سائلة ونتركها ترتاح ربع ساعة
اهم شى نستعملو طاجين تيفال غير لاصق
نسخن الطاجين جيدا ثم ندهنه بالزبدة او الزيت .
نأخذ مقدار من العجينة بفنجان القهوة
ونضعها فى المقلاة ونفردها في المقلاة بسرعة لكى تأخذ الشكل الدائرى
ونتركها2 دقائق فقط ثم نقلبها على الوجة الثانى دقيقتين
ثم نرفعها من المقلاة و نعيد المرحلة الى ان ينتهى مقدار العجينة
ونتركها جانبا و نجهز الحشوة ثم يدهن طبق فرن دائرى وتوضع قطعة كريب وتدهن بصالصة البيتزاء وترش بالزعتر و المعدنوس وبعدها توضع طبقة التن ثم طبقة جبنة موزاريلا ثم يصب القليل من البيضة المخفوقة تعاد الكرة حتى تما قطع الكريب
واخر طبقة تدهن الكريب بالصالصة وترش بالجبن والزعتر
تدخل الفرن تقريبا 20 دقيقة
وبعدما يبرد الطاجين يقطع مثلثات أو حسب الرغبة و يقدم بالشفاء. ",Nourriture
"تارت بالجبن
المكونات
لعجينة التارت:
250 غرام فارينة – 125 غرام زبدة مقطعة إلى مكعبات – نصف ملعقة صغيرة ملح- 40 مل ماء فاتر .
لحشو التارت:
100 مل حليب سائل – صفار ثلاث بيضات – 100 غرام جبن مبشور – 30غرام زبدة – ثلاثة ملاعق كبيرة فارينة
ملح بحسب الرغبة-بهارات مشكلة بحسب الرغبة-جبن متزريلا.
طريقة التحضير
1- لتحضير عجينة التارت: تخلط في وعاء عميق الفارينة والملح.
2- تضاف مكعبات الزبدة وتفرك المكونات بأطراف الأصابع حتى الحصول على مزيج على شكل حبيبات.
3- يسكب الماء تدريجياً وتخلط المكونات باليدين حتى تتشكل عجينة متماسكة، ثم تغطى وتوضع في الثلاجة لحوالي ساعة.
4- تكور العجينة وتمد على سطح مرشوش بالفارينة للحصول على شكل دائري بسماكة 1 سنتيمتر.
5- تنقل إلى صينية التارت ويضغط على قعرها وجوانبها حتى تأخذ شكل القالب.
6- تحدث بعض الثقوب في العجينة بواسطة الشوكة وتغطى بالزبدة
7- تخبز في فرن محمى مسبقاً على حرارة 200 درجة لمدة 20 دقيقة.
لتحضير الصلصة: تخلط الفارينة مع الحليب وتحرك حتى تذوب الفارينة كلياً.
12- يضاف صفار البيض والجبن وتحرك المكونات حتى تتمازج جيداً.
13- تسكب الصلصة ثم توضع طبقة من جبن المتزريلا فوق التارت.
14- تخبز تارت الجمبون في الفرن لمدة 10 دقائق على حرارة 180 درجة.
15- تخرج من الفرن وتترك لتبرد قبل تقديمها.
وصحة وبالشفاء. ",Nourriture
